;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
2400;61917059;29156048;15199808;;2400;52176515;27449025;13407394;;2400;64361725;31488635;14429515
;61452466;29240142;14803692;;;53041253;26749045;14026194;;;66076057;29179403;13610667
;62598742;29350928;15397210;;;50294820;27373089;13031070;;;59721567;29045573;14374054
;62184070;29399457;14996883;;;54015860;27533033;13335363;;;62179660;27232844;14380098
;61623648;29726835;14509649;;;51374750;27452195;13586329;;;65518473;29140485;14223801
;61850446;30437045;15137980;;;53770005;25899782;13772782;;;58448302;26115873;14064034
;62586394;30928525;14789394;;;54642711;28479285;13977358;;;65914772;30088349;13686265
;62251689;30680824;15555087;;;52350924;27724082;12878572;;;68105324;29641822;14143416
;62634764;30575057;15267722;;;52796478;27184894;13788032;;;55618724;31321264;14332431
;62485843;30440201;14919510;;;54344591;26088857;13631270;;;61013719;27919453;14322877
;62104050;30193265;15604243;;;51598601;26656596;13782420;;;66423352;30926805;13941246
;61813973;29704157;15075472;;;53245964;28192467;13823889;;;63411080;31898581;14072295
;62350471;30569586;14618229;;;53643835;27161395;14026774;;;63257066;31462240;13606009
;62187295;30406383;15181964;;;53873215;25554819;13297376;;;64058008;30316981;14139425
;61841887;30428976;14820082;;;56717350;26145871;13673318;;;65762307;29677090;14153043
;62698278;29586379;15283395;;;51223908;27013935;13230332;;;63289920;29072004;14850055
;63077443;29687407;14863167;;;51408892;26201254;13693707;;;66666931;31031946;14460852
;63329943;30023364;15296867;;;50636063;27276013;14172170;;;61831899;28311960;14926229
;62706566;29011878;14840049;;;53064227;26534160;13529145;;;58505500;30237051;15079626
;62633949;29076479;15244624;;;52620163;25782167;13805105;;;65187264;29664703;13779404
;63068609;29211223;14926169;;;51094414;25943399;13732886;;;60616359;30176074;13950460
;62748205;29096187;15365378;;;51878476;27055062;13680167;;;64094389;29414008;14004711
;62487006;29237823;14829390;;;50558395;27782465;13792196;;;56752183;31402323;13817513
;62337845;29519275;15245496;;;51872532;27617249;14071871;;;61771346;28755709;14731352
;63221452;29860540;14693349;;;50731772;26480197;13263795;;;58573636;29596588;15333120
;61987950;30127233;15165737;;;51560623;27136995;13394362;;;60711991;29186875;14275931
;61558973;29250610;14606277;;;53341147;28639729;14122313;;;64484202;29713126;14240622
